performance_name,performance_date,performance_casts,performance_genre,performance_venue
MEFISTO,2019.05.25 ~ 2019.07.28,"Nam Woo Hyun(INFINITE), Ken(VIXX) etc",Musical,Gwanglim Art Center BBCH Hall
2019 SHIN HYE SUNG FAN MEETING,2019.05.25,Shin Hye Sung(SHINHWA),Fan Meeting,YES24 LIVE HALL
2019 Sung Si kyung's Wedding Concert in Seoul,2019.05.25 ~ 2019.05.26,Sung Si kyung,Concert,"The Amphitheater, Yonsei University"
Luna solo Concert - The fragrance of Luna,2019.05.25 ~ 2019.05.26,Luna(f(x)),Concert,KT&G Sangsangmadang Daechi Art Hall
BlockB TAEILÔºÜPARK KYUNG „ÄäRehearsal Room„Ä?,2019.05.25 ~ 2019.05.26,"TAEIL, PARK KYUNG",Concert,Blue Square I-Market Hall
TWICE World Tour 2019 „ÄåTWICELIGHTS„Ä?in Seoul,2019.05.26,TWICE,Concert,"KSPO DOME, Olympic Park"
2019 Kim Jae Hwan FAN MEETING [MIN:D],2019.05.26,Kim Jae Hwan,Fan Meeting,Jamsil Indoor Stadium
PARK JIHOON BIRTHDAY PARTY [May I Love you?],2019.05.26,Park Ji Hoon,Fan Meeting,"Hwajung Gymnasium, Korea University"
2019 WAY BACK XIA ENCORE CONCERT,2019.05.31 ~ 2019.06.02,XIA(JYJ),Concert,"Hwajung Gymnasium, Korea University"
MEFISTO,2019.05.25 ~ 2019.06.30,"Nam Woo Hyun(INFINITE), Ken(VIXX) etc",Musical,Gwanglim Art Center BBCH Hall
2019 GFRIEND ASIA TOUR [GO GO GFRIEND!] in SEOUL,2019.05.18 ~ 2019.05.19,GFRIEND,Concert,"SK Olympic Handball Gymnasium, Olympic Park"
2019 Dream Concert,2019.05.18,"Taemin(SHINee), Red Velvet, SeventeenÔºåNCT DREAM etc",Concert,Seoul World Cup stadium
"2019 KyuHyun Fan Meeting [Again, Meet Today]",2019.05.19,KyuHyun(Super Junior),Fan Meeting,"Grand Peace Palace, Kyung Hee University"
"2019 JCW INVITATION ÔºªINVITATION : Late Spring, Early Night",2019.05.19,Ji Chang Wook,Fan Meeting,Blue Square I-Market Hall
AB6IX 1ST EPÔºªBÔºöCOMPLETEÔºΩSHOWCASE,2019.05.22,AB6IX,Showcase,"Olympic Hall, Olympic Park"
Jekyll and Hyde,2018.11.13 ~ 2019.05.19,"Cho Seung-woo, IVY etc",Musical,Charlotte Theater
Nichkhun Solo Concert [HOME],2019.05.11 ~ 2019.05.12,Nichkhun(2PM),Concert,"Samsung Hall, Ewha Womans University"
iKON 2019 PRIVATE STAGE [KEMiSTRY],2019.05.11,iKON,Fan Meeting,Jangchung Gymnasium
Jekyll and Hyde,2018.11.13 ~ 2019.05.19,"Cho Seung-woo, IVY etc",Musical,Charlotte Theater
